time,bee1_id,bee2_id,task_id,task_1,task_2,task_3,task_4,task_5
791.3072785350132,2,5,5,0.098,0.1,0.06699446834665028,0.1,0.2741346898153268
791.4753676160807,1,3,5,0.2182,0.1556,0.11797019053472649,0.1319,0.04898816764348114
792.2903030158684,4,1,2,0.0714,0.1138,0.19779502151198525,0.102,0.11699657193409267
792.5952213112715,5,4,3,0.0985,0.0984,0.09004302397049785,0.0698,0.47318367798297023
794.6145058756473,2,5,5,0.098,0.1,0.06699446834665028,0.1,0.2741346898153268
794.7689294860746,4,3,4,0.0714,0.1138,0.19779502151198525,0.102,0.11699657193409267
796.5255654243131,3,2,1,0.081,0.1338,0.06926090964966196,0.7638,0.0963175937188986
797.6065221806258,5,4,2,0.0985,0.0984,0.09004302397049785,0.0698,0.47318367798297023
798.5725867068321,2,5,5,0.098,0.1,0.06699446834665028,0.1,0.2741346898153268
799.2881732158953,2,3,4,0.098,0.1,0.06699446834665028,0.1,0.2741346898153268
800.4613737947585,4,5,5,0.0714,0.1138,0.19779502151198525,0.102,0.11699657193409267
801.1891517173631,2,5,5,0.098,0.1,0.06699446834665028,0.1,0.2741346898153268
802.8135030771385,1,3,5,0.2182,0.1556,0.11797019053472649,0.1319,0.04898816764348114
803.8740455276043,3,4,2,0.081,0.1338,0.06926090964966196,0.7638,0.0963175937188986
805.0898883221084,4,2,5,0.0714,0.1138,0.19779502151198525,0.102,0.11699657193409267
806.3995294399394,4,4,1,0.2343,0.1023,0.19518285187461587,0.0738,0.11633307530686719
806.6456152359318,1,4,3,0.2182,0.1556,0.11797019053472649,0.1319,0.04898816764348114
807.0952873674264,2,3,2,0.098,0.1,0.06699446834665028,0.1,0.2741346898153268
808.055360601253,2,3,4,0.098,0.1,0.06699446834665028,0.1,0.2741346898153268
808.2190052008656,5,4,3,0.0985,0.0984,0.09004302397049785,0.0698,0.47318367798297023
808.255023904618,4,2,2,0.2343,0.1023,0.19518285187461587,0.0738,0.11633307530686719
808.9180053536786,4,3,4,0.2343,0.1023,0.19518285187461587,0.0738,0.11633307530686719
